phone,status,duration
0875344368,outgoing,96
0875344368,outgoing,906
0875344368,outgoing,3014
0875344368,outgoing,834
0875344368,outgoing,2546
0875344368,outgoing,783
0875344368,outgoing,2199
0875344368,outgoing,2613
0875344368,outgoing,1699
0875344368,outgoing,1619
0875344368,outgoing,105
0612182785,outgoing,1514
0612182785,outgoing,12
0612182785,outgoing,1820
0612182785,outgoing,1542
0612182785,outgoing,2832
0688749360,outgoing,528
0688749360,outgoing,376
0688749360,outgoing,2328
0688749360,outgoing,1543
0688749360,outgoing,1770
0688749360,outgoing,550
0688749360,outgoing,3051
0688749360,outgoing,3341
0603321665,incoming,751
0563350785,incoming,1099
0887597506,incoming,3210
0597511688,incoming,2441
0563350785,incoming,2138
0848643276,incoming,2965
0848643276,outgoing,2965
0875344368,incoming,1869
0920187348,incoming,470
0848643276,incoming,170
0848643276,outgoing,170
0920187348,incoming,1850
0688749360,incoming,799
0363661308,incoming,2112
0563350785,incoming,3429
0920187348,incoming,1037
0920187348,incoming,238
0597511688,incoming,141
0603321665,incoming,2783
0920187348,incoming,3280
0848643276,incoming,50
0848643276,outgoing,50
0875344368,incoming,1173
0887597506,incoming,212
0688749360,incoming,2334
0563350785,incoming,1037
0363661308,incoming,557
0597511688,incoming,1018
0920187348,incoming,1797
0848643276,incoming,857
0848643276,outgoing,857
0920187348,incoming,283
0887597506,incoming,397
0597511688,incoming,3259
0875344368,incoming,346
0688749360,incoming,638
0612182785,incoming,3524
0887597506,incoming,511
0363661308,incoming,337
0688749360,incoming,1129
0848643276,incoming,1906
0848643276,outgoing,1906
0597511688,incoming,2401
0920187348,incoming,3291
0363661308,incoming,1801
0563350785,incoming,1923
0603321665,incoming,1308
0688749360,incoming,17
0603321665,incoming,1071
0597511688,incoming,2300
0920187348,incoming,2407
0848643276,incoming,520
0848643276,outgoing,520
0875344368,incoming,147
0887597506,incoming,928
0563350785,incoming,383
0848643276,incoming,2708
0848643276,outgoing,2708
0688749360,incoming,212
0920187348,incoming,2591
0597511688,incoming,1243
0363661308,incoming,1594
0597511688,incoming,1233
0603321665,incoming,1610
0887597506,incoming,1127
0363661308,incoming,2362
0887597506,incoming,1839
0612182785,incoming,28
0603321665,incoming,1295
0887597506,incoming,3523
0603321665,incoming,235
0920187348,incoming,113
0887597506,incoming,478
0875344368,incoming,1029
0688749360,incoming,145
0597511688,incoming,1109
0688749360,incoming,1647
0363661308,outgoing,1379
0363661308,outgoing,1847
0363661308,outgoing,2861
0363661308,outgoing,1555
0887597506,outgoing,2460
0887597506,outgoing,81
0887597506,outgoing,1784
0887597506,outgoing,3169
0887597506,outgoing,1935
0887597506,outgoing,1732
0887597506,outgoing,2737
0887597506,outgoing,750
0887597506,outgoing,2883
0920187348,outgoing,3310
0920187348,outgoing,2202
0920187348,outgoing,3084
0920187348,outgoing,1493
0920187348,outgoing,1576
0920187348,outgoing,2627
0920187348,outgoing,3083
0920187348,outgoing,3331
0603321665,outgoing,1015
0603321665,outgoing,3444
0603321665,outgoing,6
0603321665,outgoing,2279
0603321665,outgoing,1717
0597511688,outgoing,1799
0597511688,outgoing,1690
0597511688,outgoing,1734
0597511688,outgoing,1315
0597511688,outgoing,3193
0597511688,outgoing,43
0597511688,outgoing,664
0597511688,outgoing,1708
0563350785,outgoing,3007
0563350785,outgoing,216
0563350785,outgoing,2557
0563350785,outgoing,3153
0563350785,outgoing,1329
0563350785,outgoing,2234
