phone,status,duration
0875344368,outgoing,2324
0875344368,outgoing,2361
0875344368,outgoing,1159
0875344368,outgoing,3110
0875344368,outgoing,2586
0875344368,outgoing,1809
0875344368,outgoing,3505
0875344368,outgoing,0
0875344368,outgoing,1373
0875344368,outgoing,21
0612182785,outgoing,2170
0612182785,outgoing,1009
0612182785,outgoing,350
0612182785,outgoing,3536
0612182785,outgoing,655
0612182785,outgoing,3594
0612182785,outgoing,452
0612182785,outgoing,2818
0688749360,outgoing,2406
0688749360,outgoing,3564
0688749360,outgoing,445
0688749360,outgoing,204
0688749360,outgoing,326
0688749360,outgoing,3323
0848643276,outgoing,470
0848643276,outgoing,1850
0848643276,outgoing,1037
0848643276,outgoing,238
0848643276,outgoing,3280
0848643276,outgoing,1797
0848643276,outgoing,283
0848643276,outgoing,3291
0848643276,outgoing,2407
0848643276,outgoing,2591
0848643276,outgoing,113
0363661308,outgoing,1027
0363661308,outgoing,240
0363661308,outgoing,3116
0363661308,outgoing,3401
0363661308,outgoing,2972
0363661308,outgoing,243
0363661308,outgoing,2225
0363661308,outgoing,687
0887597506,outgoing,3373
0887597506,outgoing,1822
0887597506,outgoing,220
0597511688,incoming,681
0563350785,incoming,1523
0597511688,incoming,1937
0887597506,incoming,2274
0848643276,incoming,3310
0363661308,incoming,1126
0603321665,incoming,186
0875344368,incoming,1054
0875344368,incoming,968
0848643276,incoming,2202
0688749360,incoming,2046
0887597506,incoming,3362
0363661308,incoming,1763
0603321665,incoming,999
0848643276,incoming,3084
0563350785,incoming,214
0612182785,incoming,799
0887597506,incoming,1797
0563350785,incoming,238
0920187348,incoming,905
0920187348,outgoing,905
0887597506,incoming,178
0603321665,incoming,365
0848643276,incoming,1493
0688749360,incoming,869
0875344368,incoming,1181
0848643276,incoming,1576
0688749360,incoming,1247
0363661308,incoming,3132
0612182785,incoming,544
0612182785,incoming,3304
0563350785,incoming,1530
0920187348,incoming,1779
0920187348,outgoing,1779
0875344368,incoming,1690
0612182785,incoming,739
0920187348,incoming,2287
0920187348,outgoing,2287
0603321665,incoming,2094
0920187348,incoming,349
0920187348,outgoing,349
0848643276,incoming,2627
0688749360,incoming,1119
0688749360,incoming,1333
0603321665,incoming,1447
0603321665,incoming,845
0875344368,incoming,2335
0920187348,incoming,3156
0920187348,outgoing,3156
0363661308,incoming,3437
0597511688,incoming,2545
0920187348,incoming,993
0920187348,outgoing,993
0363661308,incoming,2983
0920187348,incoming,1261
0920187348,outgoing,1261
0563350785,incoming,2138
0887597506,incoming,1293
0920187348,incoming,2198
0920187348,outgoing,2198
0597511688,incoming,1270
0612182785,incoming,2600
0887597506,incoming,456
0597511688,incoming,1270
0603321665,incoming,2198
0887597506,incoming,2530
0848643276,incoming,3083
0603321665,incoming,748
0875344368,incoming,635
0887597506,incoming,1622
0920187348,incoming,2009
0920187348,outgoing,2009
0612182785,incoming,2399
0887597506,incoming,721
0603321665,incoming,1674
0848643276,incoming,3331
0887597506,incoming,1844
0597511688,incoming,262
0887597506,incoming,680
0603321665,outgoing,2397
0603321665,outgoing,1522
0603321665,outgoing,2973
0603321665,outgoing,753
0603321665,outgoing,1889
0603321665,outgoing,2814
0597511688,outgoing,2650
0597511688,outgoing,3437
0597511688,outgoing,3100
0597511688,outgoing,3264
0597511688,outgoing,125
0597511688,outgoing,2027
0597511688,outgoing,3310
0597511688,outgoing,1378
0563350785,outgoing,1865
0563350785,outgoing,3267
0563350785,outgoing,2878
0563350785,outgoing,705
0563350785,outgoing,2982
0563350785,outgoing,474
0563350785,outgoing,2106
0563350785,outgoing,1192
0563350785,outgoing,2053
