phone,status,duration
0875344368,outgoing,1580
0875344368,outgoing,1764
0875344368,outgoing,89
0875344368,outgoing,1989
0875344368,outgoing,1194
0875344368,outgoing,2420
0875344368,outgoing,1364
0875344368,outgoing,3002
0612182785,outgoing,1513
0612182785,outgoing,3183
0612182785,outgoing,457
0612182785,outgoing,921
0612182785,outgoing,1576
0612182785,outgoing,3393
0688749360,outgoing,3473
0688749360,outgoing,646
0688749360,outgoing,361
0688749360,outgoing,2284
0688749360,outgoing,3055
0688749360,outgoing,2072
0688749360,outgoing,165
0688749360,outgoing,1982
0688749360,outgoing,1064
0688749360,outgoing,714
0848643276,outgoing,3210
0848643276,outgoing,212
0848643276,outgoing,397
0848643276,outgoing,511
0848643276,outgoing,928
0848643276,outgoing,1127
0848643276,outgoing,1839
0848643276,outgoing,3523
0848643276,outgoing,478
0363661308,outgoing,1169
0363661308,outgoing,417
0363661308,outgoing,3128
0363661308,outgoing,1881
0363661308,outgoing,315
0363661308,outgoing,2004
0363661308,outgoing,571
0363661308,outgoing,1518
0363661308,outgoing,2106
0603321665,incoming,2449
0363661308,incoming,3095
0875344368,incoming,1626
0603321665,incoming,105
0612182785,incoming,2964
0887597506,incoming,1956
0887597506,outgoing,1956
0563350785,incoming,2546
0363661308,incoming,472
0688749360,incoming,510
0597511688,incoming,1469
0848643276,incoming,2460
0848643276,incoming,81
0848643276,incoming,1784
0597511688,incoming,2214
0612182785,incoming,588
0688749360,incoming,2078
0612182785,incoming,3332
0603321665,incoming,1122
0848643276,incoming,3169
0363661308,incoming,416
0887597506,incoming,3155
0887597506,outgoing,3155
0612182785,incoming,2587
0597511688,incoming,2183
0597511688,incoming,1148
0848643276,incoming,1935
0563350785,incoming,2277
0848643276,incoming,1732
0848643276,incoming,2737
0603321665,incoming,3103
0603321665,incoming,29
0875344368,incoming,1609
0597511688,incoming,266
0887597506,incoming,3443
0887597506,outgoing,3443
0875344368,incoming,417
0563350785,incoming,2274
0563350785,incoming,1143
0363661308,incoming,2078
0363661308,incoming,216
0920187348,incoming,3373
0887597506,incoming,1690
0887597506,outgoing,1690
0612182785,incoming,1223
0603321665,incoming,2104
0688749360,incoming,2503
0848643276,incoming,750
0363661308,incoming,3203
0688749360,incoming,1731
0363661308,incoming,3087
0887597506,incoming,747
0887597506,outgoing,747
0688749360,incoming,1475
0563350785,incoming,1963
0887597506,incoming,966
0887597506,outgoing,966
0563350785,incoming,1173
0603321665,incoming,2642
0887597506,incoming,3044
0887597506,outgoing,3044
0920187348,incoming,1822
0875344368,incoming,2109
0887597506,incoming,1885
0887597506,outgoing,1885
0597511688,incoming,190
0920187348,incoming,220
0887597506,incoming,3165
0887597506,outgoing,3165
0603321665,incoming,1301
0887597506,incoming,2455
0887597506,outgoing,2455
0363661308,incoming,1247
0612182785,incoming,1451
0887597506,incoming,3348
0887597506,outgoing,3348
0363661308,incoming,2159
0563350785,incoming,3254
0363661308,incoming,842
0848643276,incoming,2883
0597511688,incoming,427
0920187348,outgoing,2274
0920187348,outgoing,3362
0920187348,outgoing,1797
0920187348,outgoing,178
0920187348,outgoing,1293
0920187348,outgoing,456
0920187348,outgoing,2530
0920187348,outgoing,1622
0920187348,outgoing,721
0920187348,outgoing,1844
0920187348,outgoing,680
0603321665,outgoing,69
0603321665,outgoing,3028
0603321665,outgoing,1138
0603321665,outgoing,2779
0597511688,outgoing,2397
0597511688,outgoing,3452
0597511688,outgoing,29
0597511688,outgoing,1148
0597511688,outgoing,896
0597511688,outgoing,3503
0597511688,outgoing,2487
0597511688,outgoing,2557
0597511688,outgoing,2418
0597511688,outgoing,1374
0563350785,outgoing,429
0563350785,outgoing,2289
0563350785,outgoing,411
0563350785,outgoing,818
0563350785,outgoing,356
0563350785,outgoing,3196
0563350785,outgoing,611
0563350785,outgoing,3115
