phone,status,duration
0597511688,incoming,2108
0363661308,incoming,2922
0363661308,incoming,1321
0612182785,incoming,655
0597511688,incoming,3057
0363661308,incoming,2564
0848643276,incoming,96
0887597506,incoming,1580
0363661308,incoming,2910
0363661308,incoming,625
0848643276,incoming,906
0848643276,incoming,3014
0688749360,incoming,1191
0612182785,incoming,2388
0688749360,incoming,1302
0920187348,incoming,2324
0603321665,incoming,1678
0603321665,incoming,3329
0920187348,incoming,2361
0887597506,incoming,1764
0848643276,incoming,834
0603321665,incoming,2658
0920187348,incoming,1159
0597511688,incoming,2584
0887597506,incoming,89
0887597506,incoming,1989
0603321665,incoming,809
0597511688,incoming,3361
0887597506,incoming,1194
0848643276,incoming,2546
0563350785,incoming,369
0920187348,incoming,3110
0612182785,incoming,309
0597511688,incoming,2054
0848643276,incoming,783
0875344368,incoming,38
0875344368,outgoing,38
0920187348,incoming,2586
0603321665,incoming,969
0563350785,incoming,471
0688749360,incoming,2183
0920187348,incoming,1809
0887597506,incoming,2420
0875344368,incoming,2369
0875344368,outgoing,2369
0603321665,incoming,1545
0688749360,incoming,1860
0920187348,incoming,3505
0887597506,incoming,1364
0688749360,incoming,3392
0688749360,incoming,1735
0875344368,incoming,368
0875344368,outgoing,368
0363661308,incoming,1301
0920187348,incoming,0
0612182785,incoming,1292
0363661308,incoming,1179
0363661308,incoming,614
0848643276,incoming,2199
0848643276,incoming,2613
0848643276,incoming,1699
0848643276,incoming,1619
0848643276,incoming,105
0603321665,incoming,1495
0920187348,incoming,1373
0597511688,incoming,878
0612182785,incoming,548
0612182785,incoming,2233
0875344368,incoming,3373
0875344368,outgoing,3373
0597511688,incoming,2182
0920187348,incoming,21
0612182785,incoming,48
0887597506,incoming,3002
0612182785,outgoing,1239
0612182785,outgoing,2619
0612182785,outgoing,1648
0612182785,outgoing,1695
0612182785,outgoing,388
0612182785,outgoing,1142
0612182785,outgoing,2532
0688749360,outgoing,2030
0688749360,outgoing,2618
0688749360,outgoing,1905
0688749360,outgoing,2875
0688749360,outgoing,1853
0688749360,outgoing,3026
0688749360,outgoing,2747
0688749360,outgoing,1759
0688749360,outgoing,2419
0848643276,outgoing,1869
0848643276,outgoing,1173
0848643276,outgoing,346
0848643276,outgoing,147
0848643276,outgoing,1029
0363661308,outgoing,2274
0363661308,outgoing,1992
0363661308,outgoing,3220
0363661308,outgoing,116
0363661308,outgoing,313
0363661308,outgoing,177
0363661308,outgoing,2282
0363661308,outgoing,1866
0887597506,outgoing,1626
0887597506,outgoing,1609
0887597506,outgoing,417
0887597506,outgoing,2109
0920187348,outgoing,1054
0920187348,outgoing,968
0920187348,outgoing,1181
0920187348,outgoing,1690
0920187348,outgoing,2335
0920187348,outgoing,635
0603321665,outgoing,1575
0603321665,outgoing,3026
0603321665,outgoing,620
0603321665,outgoing,2663
0603321665,outgoing,1151
0603321665,outgoing,3102
0603321665,outgoing,2452
0603321665,outgoing,898
0597511688,outgoing,729
0597511688,outgoing,1462
0597511688,outgoing,2071
0597511688,outgoing,1006
0597511688,outgoing,3561
0597511688,outgoing,1978
0597511688,outgoing,3455
0597511688,outgoing,574
0597511688,outgoing,2881
0563350785,outgoing,3099
0563350785,outgoing,3276
0563350785,outgoing,3294
0563350785,outgoing,2040
0563350785,outgoing,1287
0563350785,outgoing,632
0563350785,outgoing,3084
0563350785,outgoing,3186
0563350785,outgoing,1222
