phone,status,duration
0875344368,outgoing,369
0875344368,outgoing,471
0612182785,outgoing,2689
0612182785,outgoing,1917
0612182785,outgoing,1204
0612182785,outgoing,1664
0612182785,outgoing,739
0612182785,outgoing,1322
0688749360,outgoing,2527
0688749360,outgoing,3594
0688749360,outgoing,1664
0688749360,outgoing,903
0688749360,outgoing,3413
0688749360,outgoing,2428
0688749360,outgoing,197
0688749360,outgoing,2887
0688749360,outgoing,1872
0848643276,outgoing,1099
0848643276,outgoing,2138
0848643276,outgoing,3429
0848643276,outgoing,1037
0848643276,outgoing,1923
0848643276,outgoing,383
0363661308,outgoing,520
0363661308,outgoing,1931
0363661308,outgoing,1810
0363661308,outgoing,1289
0363661308,outgoing,1476
0363661308,outgoing,1434
0363661308,outgoing,3017
0363661308,outgoing,3430
0363661308,outgoing,2894
0887597506,outgoing,2546
0887597506,outgoing,2277
0887597506,outgoing,2274
0887597506,outgoing,1143
0887597506,outgoing,1963
0887597506,outgoing,1173
0887597506,outgoing,3254
0920187348,outgoing,1523
0920187348,outgoing,214
0920187348,outgoing,238
0920187348,outgoing,1530
0920187348,outgoing,2138
0603321665,outgoing,771
0603321665,outgoing,1749
0603321665,outgoing,1219
0603321665,outgoing,1149
0597511688,outgoing,2567
0597511688,outgoing,1197
0597511688,outgoing,839
0597511688,outgoing,651
0597511688,outgoing,218
0597511688,outgoing,525
0597511688,outgoing,1773
0875344368,incoming,3099
0887597506,incoming,429
0603321665,incoming,2182
0597511688,incoming,3116
0363661308,incoming,2867
0887597506,incoming,2289
0920187348,incoming,1865
0597511688,incoming,1179
0920187348,incoming,3267
0920187348,incoming,2878
0563350785,incoming,1112
0563350785,outgoing,1112
0612182785,incoming,1216
0688749360,incoming,1478
0875344368,incoming,3276
0603321665,incoming,3542
0688749360,incoming,1550
0363661308,incoming,1078
0848643276,incoming,3007
0603321665,incoming,3193
0875344368,incoming,3294
0920187348,incoming,705
0887597506,incoming,411
0603321665,incoming,128
0887597506,incoming,818
0612182785,incoming,3378
0563350785,incoming,2482
0563350785,outgoing,2482
0875344368,incoming,2040
0887597506,incoming,356
0875344368,incoming,1287
0875344368,incoming,632
0920187348,incoming,2982
0887597506,incoming,3196
0612182785,incoming,1438
0603321665,incoming,3382
0603321665,incoming,1330
0597511688,incoming,386
0363661308,incoming,2403
0612182785,incoming,217
0563350785,incoming,3107
0563350785,outgoing,3107
0920187348,incoming,474
0612182785,incoming,2235
0875344368,incoming,3084
0597511688,incoming,579
0597511688,incoming,3094
0597511688,incoming,3271
0688749360,incoming,1333
0612182785,incoming,987
0688749360,incoming,38
0848643276,incoming,216
0887597506,incoming,611
0848643276,incoming,2557
0603321665,incoming,1920
0363661308,incoming,3139
0875344368,incoming,3186
0563350785,incoming,3284
0563350785,outgoing,3284
0848643276,incoming,3153
0920187348,incoming,2106
0887597506,incoming,3115
0875344368,incoming,1222
0597511688,incoming,3500
0563350785,incoming,393
0563350785,outgoing,393
0603321665,incoming,2416
0848643276,incoming,1329
0920187348,incoming,1192
0612182785,incoming,2673
0363661308,incoming,2531
0688749360,incoming,3163
0848643276,incoming,2234
0597511688,incoming,728
0920187348,incoming,2053
