phone,status,duration
0875344368,outgoing,2108
0875344368,outgoing,3057
0875344368,outgoing,2584
0875344368,outgoing,3361
0875344368,outgoing,2054
0875344368,outgoing,878
0875344368,outgoing,2182
0612182785,outgoing,1132
0612182785,outgoing,1208
0612182785,outgoing,317
0612182785,outgoing,2228
0688749360,outgoing,2950
0688749360,outgoing,3221
0688749360,outgoing,2191
0688749360,outgoing,607
0688749360,outgoing,1263
0848643276,outgoing,2441
0848643276,outgoing,141
0848643276,outgoing,1018
0848643276,outgoing,3259
0848643276,outgoing,2401
0848643276,outgoing,2300
0848643276,outgoing,1243
0848643276,outgoing,1233
0848643276,outgoing,1109
0363661308,outgoing,517
0363661308,outgoing,3175
0363661308,outgoing,1774
0363661308,outgoing,3302
0887597506,outgoing,1469
0887597506,outgoing,2214
0887597506,outgoing,2183
0887597506,outgoing,1148
0887597506,outgoing,266
0887597506,outgoing,190
0887597506,outgoing,427
0920187348,outgoing,681
0920187348,outgoing,1937
0920187348,outgoing,2545
0920187348,outgoing,1270
0920187348,outgoing,1270
0920187348,outgoing,262
0603321665,outgoing,507
0603321665,outgoing,544
0603321665,outgoing,3554
0603321665,outgoing,37
0603321665,outgoing,2873
0603321665,outgoing,1304
0603321665,outgoing,3562
0603321665,outgoing,2990
0603321665,outgoing,147
0597511688,incoming,2260
0597511688,outgoing,2260
0887597506,incoming,2397
0887597506,incoming,3452
0920187348,incoming,2650
0563350785,incoming,2567
0363661308,incoming,3482
0848643276,incoming,1799
0920187348,incoming,3437
0875344368,incoming,729
0875344368,incoming,1462
0887597506,incoming,29
0848643276,incoming,1690
0612182785,incoming,879
0603321665,incoming,1202
0612182785,incoming,1033
0603321665,incoming,570
0603321665,incoming,3010
0920187348,incoming,3100
0848643276,incoming,1734
0920187348,incoming,3264
0688749360,incoming,3379
0920187348,incoming,125
0612182785,incoming,560
0688749360,incoming,1923
0875344368,incoming,2071
0363661308,incoming,3217
0603321665,incoming,826
0563350785,incoming,1197
0875344368,incoming,1006
0887597506,incoming,1148
0612182785,incoming,3150
0848643276,incoming,1315
0363661308,incoming,1600
0887597506,incoming,896
0875344368,incoming,3561
0363661308,incoming,2617
0920187348,incoming,2027
0848643276,incoming,3193
0563350785,incoming,839
0563350785,incoming,651
0603321665,incoming,1437
0887597506,incoming,3503
0920187348,incoming,3310
0875344368,incoming,1978
0848643276,incoming,43
0612182785,incoming,1805
0612182785,incoming,588
0887597506,incoming,2487
0603321665,incoming,1037
0688749360,incoming,3020
0887597506,incoming,2557
0363661308,incoming,1043
0363661308,incoming,1602
0563350785,incoming,218
0848643276,incoming,664
0563350785,incoming,525
0688749360,incoming,1813
0597511688,incoming,134
0597511688,outgoing,134
0887597506,incoming,2418
0887597506,incoming,1374
0563350785,incoming,1773
0363661308,incoming,3199
0848643276,incoming,1708
0363661308,incoming,2211
0875344368,incoming,3455
0875344368,incoming,574
0875344368,incoming,2881
0612182785,incoming,2340
0612182785,incoming,18
0920187348,incoming,1378
0563350785,outgoing,3116
0563350785,outgoing,1179
0563350785,outgoing,386
0563350785,outgoing,579
0563350785,outgoing,3094
0563350785,outgoing,3271
0563350785,outgoing,3500
0563350785,outgoing,728
