phone,status,duration
0875344368,outgoing,655
0875344368,outgoing,2388
0875344368,outgoing,309
0875344368,outgoing,1292
0875344368,outgoing,548
0875344368,outgoing,2233
0875344368,outgoing,48
0920187348,incoming,2170
0887597506,incoming,1513
0875344368,incoming,1239
0363661308,incoming,780
0848643276,incoming,1514
0875344368,incoming,2619
0563350785,incoming,2689
0688749360,incoming,3294
0603321665,incoming,1135
0603321665,incoming,1021
0603321665,incoming,8
0363661308,incoming,1151
0363661308,incoming,3229
0875344368,incoming,1648
0363661308,incoming,1770
0887597506,incoming,3183
0563350785,incoming,1917
0603321665,incoming,1879
0612182785,incoming,136
0612182785,outgoing,136
0563350785,incoming,1204
0848643276,incoming,12
0363661308,incoming,2214
0612182785,incoming,1790
0612182785,outgoing,1790
0612182785,incoming,3015
0612182785,outgoing,3015
0875344368,incoming,1695
0920187348,incoming,1009
0920187348,incoming,350
0887597506,incoming,457
0920187348,incoming,3536
0887597506,incoming,921
0603321665,incoming,65
0612182785,incoming,3599
0612182785,outgoing,3599
0612182785,incoming,191
0612182785,outgoing,191
0920187348,incoming,655
0920187348,incoming,3594
0612182785,incoming,1984
0612182785,outgoing,1984
0363661308,incoming,1801
0597511688,incoming,1132
0612182785,incoming,197
0612182785,outgoing,197
0563350785,incoming,1664
0887597506,incoming,1576
0848643276,incoming,1820
0597511688,incoming,1208
0363661308,incoming,1472
0688749360,incoming,2190
0363661308,incoming,2838
0363661308,incoming,3314
0563350785,incoming,739
0875344368,incoming,388
0603321665,incoming,2842
0603321665,incoming,1094
0920187348,incoming,452
0603321665,incoming,952
0612182785,incoming,855
0612182785,outgoing,855
0887597506,incoming,3393
0688749360,incoming,3445
0875344368,incoming,1142
0597511688,incoming,317
0603321665,incoming,906
0688749360,incoming,1302
0875344368,incoming,2532
0603321665,incoming,866
0563350785,incoming,1322
0688749360,incoming,1480
0848643276,incoming,1542
0363661308,incoming,662
0597511688,incoming,2228
0920187348,incoming,2818
0848643276,incoming,2832
0603321665,incoming,1329
0688749360,outgoing,3264
0688749360,outgoing,2209
0688749360,outgoing,2802
0688749360,outgoing,103
0688749360,outgoing,528
0688749360,outgoing,3068
0848643276,outgoing,3524
0848643276,outgoing,28
0363661308,outgoing,936
0363661308,outgoing,2902
0363661308,outgoing,3335
0363661308,outgoing,2873
0887597506,outgoing,2964
0887597506,outgoing,588
0887597506,outgoing,3332
0887597506,outgoing,2587
0887597506,outgoing,1223
0887597506,outgoing,1451
0920187348,outgoing,799
0920187348,outgoing,544
0920187348,outgoing,3304
0920187348,outgoing,739
0920187348,outgoing,2600
0920187348,outgoing,2399
0603321665,outgoing,1645
0603321665,outgoing,2100
0603321665,outgoing,958
0603321665,outgoing,1823
0597511688,outgoing,879
0597511688,outgoing,1033
0597511688,outgoing,560
0597511688,outgoing,3150
0597511688,outgoing,1805
0597511688,outgoing,588
0597511688,outgoing,2340
0597511688,outgoing,18
0563350785,outgoing,1216
0563350785,outgoing,3378
0563350785,outgoing,1438
0563350785,outgoing,217
0563350785,outgoing,2235
0563350785,outgoing,987
0563350785,outgoing,2673
